"Country","Total number of  malaria cases (presumed + confirmed cases); 2020","Total number of  malaria cases (presumed + confirmed cases); 2019","Total number of  malaria cases (presumed + confirmed cases); 2018","Total number of  malaria cases (presumed + confirmed cases); 2017","Total number of  malaria cases (presumed + confirmed cases); 2016","Total number of  malaria cases (presumed + confirmed cases); 2015","Total number of  malaria cases (presumed + confirmed cases); 2014","Total number of  malaria cases (presumed + confirmed cases); 2013","Total number of  malaria cases (presumed + confirmed cases); 2012","Total number of  malaria cases (presumed + confirmed cases); 2011","Total number of  malaria cases (presumed + confirmed cases); 2010"
"Afghanistan","105 445","174 894","299 863","413 536","436 017","383 008","317 608","326 593","391 365","482 748","392 864"
"Algeria","2 726","1 014","1 242","453","432","747","266","603","887","191","408"
"Angola","7 156 110","7 530 788","5 928 260","4 500 221","4 301 146","3 254 270","3 180 021","3 144 100","3 031 546","3 501 953","3 687 574"
"Argentina","0","0","23","18","7","11","15","11","16","28","109"
"Armenia","3","","6","2","2","2","1","0","4","","1"
"Azerbaijan","","0","2","1","1","1","2","4","4","8","52"
"Bangladesh","6 130","17 225","10 523","29 247","27 737","39 719","57 480","26 891","29 518","52 601","62 378"
"Belize","0","2","7","9","5","13","19","26","37","79","150"
"Benin","2 632 324","3 084 525","2 255 946","1 968 532","1 667 005","2 042 684","2 122 011","1 717 115","2 069 728","1 786 864","1 873 015"
"Bhutan","54","42","54","51","74","104","48","45","82","207","487"
"Bolivia (Plurinational State of)","12 187","9 357","5 354","4 587","5 553","6 907","7 401","7 342","7 415","7 143","13 769"
"Botswana","953","272","585","1 911","725","346","1 485","506","308","1 141","12 196"
"Brazil","145 188","157 454","194 573","194 425","129 244","146 161","142 744","178 546","242 758","267 146","334 667"
"Burkina Faso","11 567 698","6 475 027","11 991 146","12 255 671","9 799 818","8 286 453","8 278 408","7 146 026","6 970 700","5 024 697","5 723 481"
"Burundi","4 732 339","9 983 843","5 149 436","9 259 694","8 902 503","5 512 414","4 987 388","4 567 428","2 600 286","3 307 158","4 255 301"
"Cabo Verde","10","40","21","446","75","28","46","46","36","36","47"
"Cambodia","15 891","32 197","62 582","76 804","43 380","68 109","70 304","46 890","74 628","106 905","181 857"
"Cameroon","2 974 819","3 011 133","3 550 183","3 607 898","2 615 750","2 381 592","1 369 518","2 285 412","1 728 723","1 899 928","1 845 691"
"Central African Republic","1 980 804","2 708 497","995 157","1 296 277","1 607 079","953 535","495 238","454 532","500 806","221 980","66 484"
"Chad","1 890 264","1 910 518","1 364 706","1 962 372","1 402 215","1 490 556","1 513 772","1 272 841","660 575","528 454","544 243"
"China","1 051","2 486","2 511","2 672","3 150","3 279","3 079","4 246","2 716","4 498","9 973"
"Colombia","76 236","80 415","63 143","54 102","83 227","55 866","40 768","51 722","60 179","64 436","117 650"
"Comoros","4 546","17 697","19 682","3 896","1 734","2 101","2 465","62 565","65 139","76 661","103 670"
"Congo","103 692","545 796","324 615","297 652","374 252","264 574","248 159","183 026","120 319","277 263","446 656"
"Costa Rica","141","145","108","25","13","8","6","6","8","17","114"
"Côte d'Ivoire","4 980 640","5 950 336","5 189 974","4 149 665","3 754 504","3 606 725","4 658 774","4 725 798","2 795 919","2 588 004","1 721 461"
"Democratic People's Republic of Korea","1 819","1 869","3 698","4 626","5 113","7 409","11 212","15 673","23 537","18 104","15 392"
"Democratic Republic of the Congo","24 959 997","20 480 310","18 208 440","16 888 842","16 888 006","12 538 805","10 288 519","11 368 481","9 128 398","9 442 144","9 252 959"
"Djibouti","73 535","49 402","25 319","14 810","13 822","9 557","9 439","1 684","27","230","1 010"
"Dominican Republic","829","1 314","484","398","755","661","496","579","952","1 616","2 482"
"Ecuador","2 001","1 909","1 806","1 380","1 424","686","242","378","558","1 232","1 888"
"El Salvador","0","3","2","4","14","9","8","7","20","15","26"
"Equatorial Guinea","","43 897","10 926","15 725","147 714","15 142","20 417","28 438","20 890","37 267","78 095"
"Eritrea","75 756","93 878","48 326","55 588","80 450","32 974","55 491","34 678","42 178","39 567","53 750"
"Eswatini","325","577","957","1 127","317","475","711","962","626","797","1 722"
"Ethiopia","1 848 231","1 015 792","1 206 891","1 755 748","1 962 996","2 174 707","2 513 863","3 316 013","3 876 745","3 549 613","4 107 396"
"Gabon","127 500","142 917","797 278","157 639","161 508","217 287","185 996","185 196","188 089","178 822","185 105"
"Gambia","75 801","53 386","88 654","83 668","164 421","255 403","168 256","281 550","313 469","268 020","194 009"
"Georgia","4","8","9","8","7","5","5","7","4","5","0"
"Ghana","5 879 506","6 703 687","11 154 400","13 472 089","11 451 328","11 678 306","8 566 002","7 259 892","10 754 320","4 207 941","3 900 311"
"Guatemala","1 058","2 072","3 021","4 124","5 001","5 540","4 931","6 214","5 346","6 817","7 384"
"Guinea","2 008 976","2 143 225","1 246 598","1 335 323","992 146","895 016","1 595 828","775 341","1 261 951","1 189 016","1 117 182"
"Guinea-Bissau","","160 907","171 075","152 619","156 523","150 085","102 945","132 176","129 684","174 986","140 143"
"Guyana","17 230","18 826","17 038","13 936","11 108","9 984","12 354","31 479","31 601","29 471","22 935"
"Haiti","22 987","10 687","8 828","19 135","21 430","17 583","17 696","26 543","27 866","34 350","84 153"
"Honduras","913","391","653","1 283","4 097","3 555","3 380","5 364","6 439","7 618","9 745"
"India","186 532","338 494","429 928","844 558","1 087 285","1 169 261","1 102 205","881 730","1 067 824","1 310 656","1 599 986"
"Indonesia","254 055","250 644","222 136","261 617","218 450","217 025","252 027","343 527","417 819","422 447","465 764"
"Iran (Islamic Republic of)","1 051","1 190","625","939","705","799","1 243","1 374","1 629","3 239","3 031"
"Kenya","6 875 369","5 019 389","10 875 734","8 462 076","8 647 072","8 219 230","9 698 529","9 790 796","9 335 951","11 120 812","6 071 583"
"Kyrgyzstan","0","1","0","2","6","1","0","4","3","5","6"
"Lao People's Democratic Republic","3 498","6 692","9 038","8 435","15 509","36 078","50 674","39 589","46 153","17 532","22 879"
"Liberia","","1 041 800","","1 366 176","2 343 410","1 835 238","1 083 513","1 483 676","1 805 546","2 488 331","2 675 816"
"Madagascar","1 950 471","984 304","1 078 140","1 163 807","1 216 077","1 366 205","688 852","472 644","456 795","255 814","293 910"
"Malawi","7 169 642","5 205 920","5 865 476","5 936 348","5 165 386","4 933 416","5 065 703","3 906 838","4 922 596","5 338 701","6 851 108"
"Malaysia","2 839","3 941","4 630","4 174","2 349","2 359","3 923","3 850","4 725","5 306","6 650"
"Mali","3 379 651","3 607 237","2 614 104","2 456 639","2 465 914","3 543 576","2 593 880","2 510 534","2 204 724","1 961 070","2 191 285"
"Mauritania","144 709","135 120","175 841","182 677","171 348","195 740","172 326","182 947","206 685","182 909","234 041"
"Mexico","369","641","826","765","596","551","666","499","842","1 130","1 233"
"Mozambique","11 331 009","11 781 516","10 339 330","9 981 277","10 373 341","8 306 986","7 452 733","4 261 529","3 296 332","3 344 413","3 381 371"
"Myanmar","58 836","56 640","76 518","85 019","110 146","182 616","205 658","333 871","481 242","567 452","693 124"
"Namibia","13 636","3 440","36 451","66 141","24 869","12 050","15 692","4 775","3 163","14 071","25 889"
"Nepal","674","1 438","2 930","4 059","10 687","19 896","26 526","37 336","71 410","71 752","96 383"
"Nicaragua","31 763","13 226","15 934","10 952","6 284","2 308","1 163","1 196","1 235","925","692"
"Niger","4 377 938","3 771 451","3 358 058","2 761 268","5 166 336","3 937 742","5 247 235","4 333 905","6 398 943","4 401 099","4 231 896"
"Nigeria","21 580 055","23 376 793","20 482 380","20 219 268","23 956 669","16 702 261","17 257 495","12 830 911","6 938 519","4 306 945","3 873 463"
"Pakistan","372 416","413 533","1 069 052","2 209 708","2 121 958","3 776 244","3 666 257","3 472 727","4 285 449","4 065 802","4 281 356"
"Panama","2 203","1 597","715","689","811","562","874","705","844","354","418"
"Papua New Guinea","932 973","646 648","940 693","892 235","785 120","620 785","707 716","1 176 874","878 371","1 151 343","1 379 787"
"Paraguay","0","0","0","5","10","8","8","11","15","10","29"
"Peru","15 847","24 324","45 619","55 367","56 623","66 609","65 252","48 719","31 436","25 005","31 545"
"Philippines","6 120","5 778","4 641","6 791","6 690","11 445","6 099","8 926","9 107","9 648","19 648"
"Republic of Korea","390","559","576","515","662","692","635","443","555","838","1 772"
"Rwanda","2 043 392","3 612 822","4 231 883","5 940 533","3 380 568","2 505 794","1 623 176","962 618","483 470","273 293","669 322"
"Sao Tome and Principe","1 944","2 742","2 940","2 241","2 238","2 058","1 754","9 243","12 550","8 442","2 740"
"Saudi Arabia","3 658","2 152","2 711","3 151","5 382","2 620","2 305","2 513","3 406","2 788","1 941"
"Senegal","452 984","359 246","536 745","398 417","356 276","502 084","294 229","476 147","390 618","328 276","390 515"
"Sierra Leone","1 223 397","1 837 353","1 781 855","1 741 512","1 845 727","1 569 606","1 898 852","1 715 851","1 945 859","856 332","934 028"
"Solomon Islands","90 830","86 116","72 430","68 712","84 514","50 916","51 649","53 270","57 296","80 859","95 006"
"Somalia","27 333","65 375","31 030","37 156","58 021","39 169","26 174","9 135","23 202","41 167","24 833"
"South Africa","8 126","13 833","10 789","29 615","4 323","4 959","11 705","8 645","6 621","9 866","8 060"
"South Sudan","1 805 371","4 064 662","4 697 506","4 054 795","555 957","3 789 475","2 433 991","1 855 501","1 125 039","1 473 653","900 283"
"Sri Lanka","30","53","48","57","41","36","49","95","93","175","736"
"Sudan","3 412 499","3 568 941","3 616 920","1 642 058","897 194","1 102 186","1 207 771","989 946","964 698","1 214 004","1 465 496"
"Suriname","244","215","235","551","327","376","401","729","569","795","1 771"
"Tajikistan","0","3","1","3","1","4","7","14","39","100","116"
"Thailand","3 940","5 421","6 750","11 440","17 800","24 155","41 218","41 602","46 895","24 897","32 480"
